state_range,reward
0-50,3.172963742554799
50-100,7.706694427225203
100-150,5.527977124463318
150-200,2.8096833291346974
200-250,5.272204114378281
250-300,2.4950516768341084
300-350,2.1095879998209917
350-400,1.327267622682579
400-450,0.4969914169541023
450-500,0.7624720487547753
500-500,0.3871301727681928
550-500,-10.0
600-500,-10.0
650-500,-10.0
700-500,-10.0
750-500,-10.0
800-500,-10.0
850-500,-10.0
900-500,-10.0
950-500,-10.0
1000-500,-10.0
1050-500,-10.0
1100-500,-10.0
1150-500,-10.0
1200-500,-10.0
1250-500,-10.0
1300-500,-10.0
1350-500,-10.0
1400-500,-10.0
1450-500,-10.0
1500-500,-10.0
1550-500,-10.0
1600-500,-10.0
1650-500,-10.0
1700-500,-10.0
1750-500,-10.0
1800-500,-10.0
1850-500,-10.0
1900-500,-10.0
1950-500,-10.0
2000-500,-10.0
2050-500,-10.0
2100-500,-10.0
2150-500,-10.0
2200-500,-10.0
2250-500,-10.0
2300-500,-10.0
2350-500,-10.0
2400-500,-10.0
2450-500,-10.0
2500-500,-10.0
2550-500,-10.0
2600-500,-10.0
2650-500,-10.0
2700-500,-10.0
2750-500,-10.0
2800-500,-10.0
2850-500,-10.0
2900-500,-10.0
2950-500,-10.0
3000-500,-10.0
3050-500,-10.0
3100-500,-10.0
3150-500,-10.0
3200-500,-10.0
3250-500,-10.0
3300-500,-10.0
3350-500,-10.0
3400-500,-10.0
3450-500,-10.0
3500-500,-10.0
3550-500,-10.0
3600-500,-10.0
3650-500,-10.0
3700-500,-10.0
3750-500,-10.0
3800-500,-10.0
3850-500,-10.0
3900-500,-10.0
3950-500,-10.0
4000-500,-10.0
4050-500,-10.0
4100-500,-10.0
4150-500,-10.0
4200-500,-10.0
4250-500,-10.0
4300-500,-10.0
4350-500,-10.0
4400-500,-10.0
4450-500,-10.0
4500-500,-10.0
4550-500,-10.0
4600-500,-10.0
4650-500,-10.0
4700-500,-10.0
4750-500,-10.0
4800-500,-10.0
4850-500,-10.0
4900-500,-10.0
4950-500,-10.0
5000-500,-10.0
5050-500,-10.0
5100-500,-10.0
5150-500,-10.0
5200-500,-10.0
5250-500,-10.0
5300-500,-10.0
5350-500,-10.0
5400-500,-10.0
5450-500,-10.0
5500-500,-10.0
5550-500,-10.0
5600-500,-10.0
5650-500,-10.0
5700-500,-10.0
5750-500,-10.0
5800-500,-10.0
5850-500,-10.0
5900-500,-10.0
5950-500,-10.0
6000-500,-10.0
6050-500,-10.0
6100-500,-10.0
6150-500,-10.0
6200-500,-10.0
6250-500,-10.0
6300-500,-10.0
6350-500,-10.0
6400-500,-10.0
6450-500,-10.0
6500-500,-10.0
6550-500,-10.0
6600-500,-10.0
6650-500,-10.0
6700-500,-10.0
6750-500,-10.0
6800-500,-10.0
6850-500,-10.0
6900-500,-10.0
6950-500,-10.0
7000-500,-10.0
7050-500,-10.0
7100-500,-10.0
7150-500,-10.0
7200-500,-10.0
7250-500,-10.0
7300-500,-10.0
7350-500,-10.0
7400-500,-10.0
7450-500,-10.0
7500-500,-10.0
7550-500,-10.0
7600-500,-10.0
7650-500,-10.0
7700-500,-10.0
7750-500,-10.0
7800-500,-10.0
7850-500,-10.0
7900-500,-10.0
7950-500,-10.0
8000-500,-10.0
8050-500,-10.0
8100-500,-10.0
8150-500,-10.0
8200-500,-10.0
8250-500,-10.0
8300-500,-10.0
8350-500,-10.0
8400-500,-10.0
8450-500,-10.0
8500-500,-10.0
8550-500,-10.0
8600-500,-10.0
8650-500,-10.0
8700-500,-10.0
8750-500,-10.0
8800-500,-10.0
8850-500,-10.0
8900-500,-10.0
8950-500,-10.0
9000-500,-10.0
9050-500,-10.0
9100-500,-10.0
9150-500,-10.0
9200-500,-10.0
9250-500,-10.0
9300-500,-10.0
9350-500,-10.0
9400-500,-10.0
9450-500,-10.0
9500-500,-10.0
9550-500,-10.0
9600-500,-10.0
